age,gender,university_year,GPA,study_hours_per_day,class_attendance_percent,sleep_hours,screen_time_hours,social_media_hours,gaming_hours,exercise_hours_per_week,part_time_job,relationship_status,mental_stress_level,AI_tool_usage_hours,exam_preparation_days,coffee_consumption_per_day,extracurricular_hours_per_week,final_exam_score,assignment_score
20,Female,1,4,3.5,97,7.6,5.9,0.8,2.7,3.1,Yes,In a Relationship,4.2,0,20,0,7.8,100,88
22,Female,3,3.41,1.9,88,6.4,5.4,3.5,2.3,0,Yes,In a Relationship,4.9,1.3,13,2,3.8,85,84
24,Female,1,3.45,4.7,100,4.6,6.3,3.9,4.7,1.6,No,Single,5.5,0,18,3,3.8,100,96
28,Female,3,3.1,1.7,79,6.4,5.5,2.6,2.8,1.6,Yes,In a Relationship,4.4,0.6,13,1,4.6,93,86
27,Male,4,3.48,3.8,82,6.6,5.9,4.1,1.5,2.5,Yes,In a Relationship,3,1.9,7,1,6,100,87
22,Female,1,3.13,0.6,71,6.6,7.2,3,1.2,0.6,No,In a Relationship,5.4,1.1,13,2,2.9,83,67
22,Male,3,2.9,1.5,84,7.7,7.5,4.6,2.1,2.9,No,In a Relationship,5.2,1.2,9,7,2.3,92,95
22,Female,4,4,3.8,95,9.4,3.6,0.5,3.1,3.9,No,Single,2.9,2.4,6,2,3,100,100
20,Female,4,3.67,4.6,100,7.1,6,2.3,0.4,0,No,In a Relationship,6.9,0,12,1,5.8,100,97
23,Male,2,4,3.8,100,6.7,5.6,2.7,2.1,1.7,Yes,Single,3.1,2.3,16,1,4.1,100,100
19,Male,1,4,3.3,97,6.7,2,0,1.7,8.1,Yes,Single,1,1.3,10,0,1.1,100,100
28,Female,1,3.94,3,100,7.1,4.1,1.2,1.9,3.7,No,Single,4,1.1,22,3,5.2,92,97
25,Male,3,3.16,1.3,79,6,3.6,1.6,1.1,0,Yes,In a Relationship,4.2,1.2,17,2,1.5,86,75
26,Male,3,3.37,2.4,87,7.1,7.3,4.2,2.2,0.2,Yes,Single,4.2,1.8,9,3,5.6,100,97
23,Female,1,3.27,2.8,100,7.5,5.9,1.7,3.2,3.5,No,In a Relationship,3.1,2.2,9,0,6.1,92,82
20,Male,1,4,5.1,95,7.3,3.2,1.6,2,3.2,Yes,In a Relationship,2.8,1,23,2,3.4,100,100
20,Male,2,3.68,4,89,7.5,5.2,4,0,1.8,Yes,In a Relationship,6.3,1.1,10,2,7.3,99,94
22,Male,4,3,0.9,91,7.5,3.5,0.4,0.3,7.4,No,In a Relationship,4.3,1.8,14,2,7.4,84,100
21,Female,4,4,4,100,4.9,2.1,0,3.7,8.2,No,Single,1,0,14,0,3.4,100,100
18,Female,2,3.35,2.9,80,7.8,5.3,2.3,0,2.5,Yes,In a Relationship,2.2,1.1,3,0,5.6,76,99
25,Female,1,4,2.5,100,6.2,4,0.6,0,4.7,No,Single,2.4,1.7,3,4,8.4,100,100
25,Male,2,3.89,4.4,80,5.7,1.1,0.7,0.7,4.8,Yes,Single,2.6,0.7,16,1,3.5,100,95
19,Male,4,3.96,5,100,5.7,7.5,3.7,0.5,5.1,Yes,Single,3.7,0.4,7,2,1.8,100,95
27,Female,1,4,4.9,100,7.5,5.7,4.1,1.5,1.7,Yes,Single,4.5,1,12,3,1.6,100,100
21,Female,2,3.07,2.2,75,6.7,7,4,2.1,6.9,No,Single,3.4,0.6,4,1,6.2,95,96
20,Male,4,3.14,3,77,5,6.7,4.5,2,2.9,No,Single,4.1,1,10,2,1.5,100,90
21,Male,3,3.65,4,89,7.6,7,4.7,0.9,3.8,No,Single,3.4,0.7,13,5,3.6,94,94
20,Male,3,3.95,5,100,5.3,5,0,0.8,3,No,In a Relationship,5.1,2.8,2,0,3.1,100,100
23,Male,1,3.4,2.8,100,7.2,6.9,3.5,1.1,2.7,No,Single,4,0.1,12,2,4.7,100,90
21,Male,1,3.87,3.2,100,7.3,6.1,2,3.1,3.6,Yes,Single,3.1,2,13,1,3.4,100,100
21,Male,4,3.54,1.8,97,8.1,4.9,1.7,0.9,0.6,No,In a Relationship,2.2,0.6,10,3,4.8,82,93
28,Male,1,3.42,1.7,80,9.1,7.3,3.6,2,0,No,Single,3.8,1.5,6,2,3.8,88,93
25,Female,1,3.76,4.7,100,5.4,3.7,0.2,1.3,2.6,Yes,In a Relationship,4.6,1.8,10,2,3.1,100,100
24,Female,4,4,5.5,100,6.9,3.5,0.2,0.8,1.2,Yes,Single,4,2.7,10,1,3.2,100,81
19,Male,1,3.54,3.4,87,6.7,8.1,3.8,2.6,4.1,No,Single,5.2,1.6,22,1,2.6,96,100
26,Female,2,4,5,99,7.5,6.7,3.5,0.7,3.9,No,In a Relationship,2.8,0.8,11,3,4.8,100,93
25,Male,2,3.92,4,100,7.3,8.7,3,1.8,3,Yes,In a Relationship,2.8,1.3,10,1,6.1,100,100
21,Female,1,3.42,2.5,82,6.6,5.7,1.5,2.3,6,No,Single,4.2,3.1,11,2,4.6,99,94
28,Female,1,3.6,4,87,6.5,5.5,3.9,2.1,3,No,In a Relationship,5.5,1.4,14,0,1.1,89,93
19,Female,3,4,5.8,100,5.7,6.6,3.8,1.9,0.1,No,Single,5.2,0,14,5,5.3,100,100
19,Female,3,4,3.4,94,8.2,6.4,2.9,1.6,2.6,Yes,Single,4.6,0.8,14,2,3.5,100,97
24,Female,1,4,5.8,100,7.6,4.1,1,1.7,5.3,Yes,In a Relationship,1.5,0.8,15,3,2.5,100,100
24,Female,4,2.88,0.5,69,8.1,6,2.2,1.5,0,No,Single,2.8,1.9,5,4,2.6,80,79
24,Female,3,3.94,4.7,92,6.6,8.1,4.1,0.8,2.8,No,Single,3.2,0,15,0,1.7,100,93
19,Male,2,3.55,3.6,95,6.2,6.2,4.8,0.7,4.2,No,In a Relationship,5.3,0.7,13,4,7.6,100,100
25,Male,4,3.19,3.1,92,5.7,6.8,2.3,1.5,8.3,Yes,In a Relationship,3.5,1.4,9,3,4.1,95,75
20,Male,3,3.23,3.6,89,7.4,4.8,2.4,1.7,5.4,No,In a Relationship,2.8,0.9,13,2,1.5,96,90
27,Female,4,2.9,0.5,64,5.8,4.9,2.6,1.8,3.3,Yes,In a Relationship,3.6,1.3,11,3,6.3,76,83
22,Female,4,3.41,3.2,85,9.2,5.5,3.2,2.3,4,No,Single,5.7,1.3,12,2,9.3,96,87
20,Male,1,4,4,92,5.4,5.9,1.9,0,0,No,Single,4.6,1.4,13,2,5,100,89
19,Female,2,4,5.7,100,7.3,2.7,0,2,0.9,No,In a Relationship,4.7,0.3,4,3,3.7,100,94
22,Male,1,3.48,2.7,80,8.9,6.8,4.6,1.9,4.3,Yes,Single,3.7,2,13,1,2,80,95
18,Female,1,3.35,2.3,98,7.7,8,5.5,1.9,3.3,No,In a Relationship,4.3,0.7,15,2,6.6,95,83
21,Male,4,3.5,2.7,94,7.2,2.7,1.9,2.1,3.6,No,Single,4.9,1.2,13,0,5.7,100,84
25,Male,2,3.7,4.9,100,5.8,3.2,1.2,0.5,3.1,No,In a Relationship,4.6,0,8,1,2.6,100,90
21,Female,1,3.58,4,94,5.3,4.1,2.6,1.8,3,No,Single,4.6,1.2,8,2,6.2,100,97
23,Male,2,3.12,2.7,79,7.9,5.2,2.5,1.8,3.2,Yes,In a Relationship,4.7,1.4,13,2,3.6,90,79
26,Male,1,4,4.3,90,8.8,8.1,4.3,0,0.9,Yes,Single,7,1.2,16,0,6.8,100,100
25,Male,1,3.88,3.6,100,6.5,6.6,2.9,3.3,2.5,No,Single,3.7,0.4,19,2,5.2,100,100
26,Male,3,4,5,100,5.6,6.1,1.6,0.3,0.5,No,In a Relationship,5.1,2.3,16,0,4.8,100,100
28,Female,3,3.2,2.4,66,4.1,5,0.8,1.8,1.8,No,In a Relationship,4.1,1.8,15,2,1.4,100,80
24,Male,1,3.67,3,88,5.8,6.5,4.1,0,5.4,No,In a Relationship,3.6,1.1,1,2,5,99,100
26,Female,4,3.06,2.9,98,6.9,6.7,3.7,2.9,2.6,Yes,Single,3.6,1.1,9,4,3,82,100
27,Male,4,2.98,1.3,75,8.9,7.4,4.4,0.7,4.2,Yes,Single,5.4,0.5,14,3,6.7,75,81
28,Male,3,4,3.9,100,7.8,1.7,1.3,1,3.2,Yes,In a Relationship,1.3,0.6,9,1,1.6,100,85
24,Male,4,3.68,3.9,97,7.4,7.1,5.6,0.2,2.2,No,In a Relationship,5.7,2.7,7,0,6.5,100,99
18,Female,2,3.81,3.5,100,6.5,3,0.2,0.9,1,No,In a Relationship,2.8,0.8,7,3,3.1,100,100
26,Female,3,3.54,3.1,85,6.3,6.7,3.9,1.7,2.2,Yes,Single,6.7,4,21,3,2,100,75
24,Male,2,3.81,1.4,88,8.7,3.6,0,3.5,3.4,Yes,In a Relationship,2,0,6,3,5,100,99
23,Male,3,3.66,2.9,88,7.2,5.2,1.6,2.6,4.2,No,Single,2.9,1.6,11,2,0.7,100,86
18,Male,3,3.26,3,82,4.5,6,5.1,2.6,3.2,No,In a Relationship,7.4,1.4,8,4,2.6,100,96
19,Male,4,3.27,2.3,83,6.2,7.6,4,0,4.3,Yes,Single,5.4,1.2,8,2,3.1,100,79
25,Male,4,3.43,3.3,88,6,5.2,2,1.8,0,No,Single,5.3,0,14,2,3.4,95,95
26,Male,4,3.72,4.1,82,6.3,5.7,2,0.9,4.7,No,In a Relationship,4.5,0,16,2,3.7,100,96
23,Female,3,4,6.3,100,7.7,7.3,3,0.1,0.7,No,In a Relationship,3.3,1.4,6,4,3.6,100,99
21,Female,4,3.72,3.8,85,6.9,6.4,3.6,0.7,5,No,In a Relationship,4.8,0.2,12,3,2.9,100,72
19,Male,3,3.86,3.9,83,6.9,9.2,4.7,1.5,4,No,Single,4.5,2.4,11,0,4.3,100,91
22,Male,4,4,3.4,91,8.6,4,2.1,1,0,No,In a Relationship,4.2,1,10,1,5.3,91,92
27,Male,2,3.16,0.6,82,6.2,2.3,0.4,1.9,4.5,Yes,Single,3.6,1.5,7,0,1.7,84,77
22,Male,2,4,3.5,88,9.2,6.5,3,0,5,No,Single,1.9,1.2,18,0,6.8,100,94
23,Male,1,3.61,3.6,86,6.2,4.7,2.1,4.6,5.5,Yes,In a Relationship,4.2,1.1,7,2,1.1,100,94
23,Male,4,4,7.2,100,7.1,4.1,0.8,1.8,1.5,Yes,In a Relationship,3.3,2.7,5,3,6.7,100,100
28,Male,2,3.36,3.2,83,6.7,8.6,3.2,0.9,3.4,No,Single,3,2.3,17,2,2.9,100,100
24,Female,4,3.99,4,88,7.1,6,2.5,1.1,4.4,Yes,Single,3.5,1.4,13,1,5.7,100,100
24,Male,2,3.95,3.4,99,7.5,6.6,3.3,0,4.5,No,In a Relationship,3.8,1.9,6,4,3.1,100,100
26,Female,2,3.32,1.7,83,7.5,3.5,1.5,0,3.8,Yes,In a Relationship,3.8,2.4,12,3,6.9,75,91
19,Female,4,4,5.2,100,6.1,4.5,3.5,1.3,2.1,No,In a Relationship,2.5,0.6,9,3,0.5,100,100
28,Male,3,4,4.6,100,5.7,3.7,0.8,1.8,5,No,Single,3.7,0,19,1,3.1,100,84
18,Female,2,4,4.7,100,10,5.9,1.6,0,5,Yes,In a Relationship,1.6,1.8,11,5,2,100,100
28,Male,2,3.4,2.1,88,6.4,5,2.4,0.3,2.7,No,In a Relationship,5,2.4,15,0,1.2,89,100
20,Female,1,3.4,5.6,100,7.8,8.9,5.4,1.7,1.4,No,In a Relationship,5.1,0,12,0,6.3,100,96
23,Male,1,2.33,1.4,60,5.1,8.7,4,0.1,1.5,No,Single,5.2,0.6,19,0,2.7,74,71
23,Male,3,3.84,4.4,98,6.7,9.1,4.4,2.7,5.7,No,In a Relationship,4.1,1,13,0,3.3,97,100
22,Male,3,3.93,6.8,100,6.8,8.4,4.9,1.9,4.9,No,Single,4.9,0.2,18,1,0.9,100,100
25,Female,3,2.82,2,80,7.6,11.2,8,0.9,3,No,Single,6.8,1.1,15,0,4.7,83,100
28,Female,2,3.24,2.7,73,3.7,4.1,2.9,1.7,2.6,No,Single,4.5,0.1,9,1,2.9,84,88
23,Male,2,3.73,3.6,87,7.2,7.1,4.9,0.4,0,No,In a Relationship,5.1,0.9,12,0,3.5,91,94
22,Female,3,3.19,2.7,70,5.6,7,4.3,0.4,2.8,Yes,Single,6.7,1.9,11,1,1.6,99,79
18,Female,4,2.52,1.2,81,7.4,6.3,4.3,3.4,0.6,No,In a Relationship,4.6,0,9,0,6.6,68,86
19,Male,1,3.61,3.6,96,5.8,8.8,5.5,3.7,3.3,Yes,In a Relationship,5.9,0.1,7,1,6.9,100,95
25,Female,4,3.35,1.9,77,6,7.5,2.2,0.9,5.4,No,Single,2.5,2.6,19,2,4.9,100,94
20,Female,3,4,4.2,97,6.7,6.9,2.1,1.5,1,No,In a Relationship,2.6,0.4,2,3,4.4,100,96
27,Male,4,2.94,2.1,73,5.7,6.6,3.3,0.9,3.5,No,In a Relationship,3.6,0,19,3,5.4,92,87
24,Male,2,4,5.8,100,6.4,6.4,2.5,3,5,Yes,In a Relationship,3.1,1.4,5,3,6.8,100,100
27,Male,2,3.02,2.3,86,5.6,5.4,3.3,4,3.4,Yes,Single,5.7,1.1,15,0,1.1,97,88
23,Female,2,2.82,3,76,4.8,9.9,5.1,0.7,2,Yes,Single,7.1,1.3,9,0,0,95,84
26,Male,2,4,4.7,100,8.2,3.2,2.1,0,3,Yes,In a Relationship,1.4,1.3,4,0,10,100,100
26,Male,4,2.77,1.7,78,5.4,6.4,2.3,2.7,4.9,No,Single,3.5,2.5,18,1,0,89,82
24,Male,3,3.5,3.8,100,6.8,6.7,3.1,2.4,3.5,No,In a Relationship,4.9,0.5,1,1,2.9,100,100
27,Female,3,4,5.5,100,7.9,4.6,2.5,3.2,3,No,Single,3.5,1.1,16,3,4.5,100,100
18,Male,3,3.12,1.1,89,6.3,2.7,0,1.8,5.3,Yes,In a Relationship,4.2,0.8,13,1,4.4,92,100
22,Female,1,3.9,3.8,100,6,3.5,1.9,0,4,No,In a Relationship,4.5,1.9,17,0,3.6,100,100
21,Male,1,3.7,3.9,81,7.3,5.5,3.8,0,0.6,No,In a Relationship,4.6,2,15,0,5.5,100,100
25,Female,1,3.97,4.7,99,8.3,6.1,5,3.9,4.3,No,Single,4.1,1.6,15,2,3.9,100,100
25,Female,1,2.74,1.6,79,5.6,5,1.1,1.4,4.9,No,Single,3.4,3.4,16,3,2.6,83,76
27,Female,4,3.31,1.5,76,6.8,5.5,1.1,0.4,0.5,No,Single,3.1,1.8,16,1,4.7,96,94
26,Female,1,3.92,4.3,98,4.9,3.2,2.8,0,0,No,In a Relationship,6.3,2.5,14,2,1.2,84,100
22,Female,3,4,3.9,100,6.5,5.2,0,2.1,0.9,No,Single,4.3,0.3,10,0,6.8,100,91
22,Female,4,3.25,3.9,81,7,5.1,2.1,1.6,2.8,No,Single,4.3,0.5,11,1,4.2,94,92
26,Female,3,3.76,4,83,6,3.5,0.2,0,5,No,In a Relationship,3.2,3.2,13,2,2.3,100,100
22,Male,2,3.51,2.5,94,6.5,6.1,4.9,0.3,1.2,No,Single,4.4,0,11,3,3.6,91,88
25,Female,2,4,3.8,92,5.3,6.2,1.6,0.5,4.1,No,In a Relationship,4.5,2,23,1,4.1,100,100
27,Female,3,3.61,3.9,92,7.1,8.5,5.3,2.1,0,Yes,In a Relationship,5.8,2.5,12,0,3.4,100,96
24,Female,1,2.82,2.4,76,8.3,8.9,4.5,3.7,3.4,No,In a Relationship,6.2,2.4,6,4,8,89,79
24,Male,2,4,6.3,100,5.7,6.3,1.8,1,2.2,No,In a Relationship,3,0,11,1,3.5,100,100
19,Male,3,3.87,4.2,100,6.3,5.8,1.2,3.6,7.2,Yes,Single,2.1,0.8,8,2,0.4,100,100
22,Female,1,3.44,1.7,86,7.6,4.7,2.5,1.5,0,No,Single,2.8,1.8,22,3,2.4,93,99
20,Female,2,4,4.5,100,8.5,5.4,2.6,0.4,3,No,In a Relationship,3.2,1.9,12,1,4.7,100,99
21,Female,1,2.82,2,64,5.2,5.6,3.3,3.3,0,Yes,Single,3.8,1.2,15,2,7,91,79
21,Male,4,3.55,4.7,100,6.8,5.7,1.6,2.1,1.9,Yes,Single,5.1,0.5,15,4,5.3,100,76
26,Male,3,3.74,5.2,100,7.3,7.3,3.9,3.2,0,No,Single,6.1,0.9,17,1,1.7,100,99
22,Female,4,3.4,2.3,79,6.9,7.5,3.2,2,7.6,Yes,Single,3.2,0.6,13,2,1.4,90,97
19,Female,3,3.78,4.9,100,4,6.6,2.3,4.7,2.3,No,In a Relationship,4,0,10,2,2.4,100,91
20,Male,2,4,4.1,94,7.6,2.6,1.7,1.9,2.6,Yes,In a Relationship,2,0.9,12,1,0,100,93
27,Female,4,4,4.7,100,8.8,7.1,2.5,2.2,2.9,No,In a Relationship,2.6,3,6,1,7.6,100,100
23,Female,3,4,6.3,100,7.1,5.7,1.6,0.6,0.7,No,In a Relationship,4.6,0.9,11,2,4,100,100
24,Female,3,2.88,3.1,89,5.8,5.5,2.9,2.7,5.1,No,Single,3.3,0,21,0,4.6,83,93
28,Male,3,3.58,2.4,80,6.4,6.3,2.9,1.3,4.3,No,In a Relationship,6,0.8,16,2,5.6,100,92
26,Female,4,3.61,2.2,83,9.1,6.1,3.2,2.4,4.8,No,In a Relationship,4.6,2.9,11,0,2.6,100,89
24,Male,2,3.07,2.3,85,8.1,9.1,5.4,3.4,0.6,Yes,Single,5.2,0,22,0,3.5,88,82
27,Female,1,3.73,3.4,91,7.8,5.2,2.6,1.6,5.3,Yes,In a Relationship,2.8,1.2,9,1,2.4,97,90
22,Female,4,3.84,4,100,7.4,7.9,4.3,2.4,5,No,In a Relationship,3.6,1.9,14,2,3.2,100,92
25,Male,1,3.62,3.9,82,6.2,6.2,3.1,3.3,2.5,Yes,In a Relationship,6.2,0.1,10,3,4.6,98,86
25,Male,2,4,4.7,100,6.8,4.9,2.4,0.2,4.8,No,Single,3,1.4,11,3,2.9,100,100
25,Female,4,4,3.5,95,6.9,5.8,2.6,1.7,3.5,Yes,In a Relationship,4.9,0.3,14,1,4.8,100,94
22,Male,1,3.98,5.7,100,7.7,8.9,2.7,0,0,No,In a Relationship,4.4,0,15,1,4.6,100,100
19,Male,1,3.89,3.1,88,8.8,5.4,3.2,1.3,2.6,No,In a Relationship,4.4,1.8,11,3,5.8,100,88
28,Female,3,4,7.6,100,8.3,4.1,1.4,2.7,2,No,In a Relationship,2.4,3,8,2,8.2,100,100
25,Male,3,3.75,4.4,100,5.3,2.8,0.6,0,3.2,Yes,In a Relationship,3.4,0.8,21,1,6.1,100,95
20,Male,3,3.43,2.2,88,7.3,6.1,3.8,0.4,5,No,In a Relationship,3.9,1.8,13,1,3.7,100,95
28,Female,4,3.21,1.9,76,7.9,8.1,4.1,0,0,No,Single,4.2,1.7,7,1,2.5,93,89
21,Female,3,3.92,4.2,94,7.7,7.8,3.9,2.6,2.1,No,Single,5.7,1.4,7,3,4.5,100,100
21,Male,2,3.61,3.2,93,6.2,6,3,2.1,1.4,Yes,Single,4,0.5,22,1,2,100,91
27,Female,2,4,4.6,95,10,8.2,4,3,1.4,No,Single,3.2,0.2,24,3,0,100,98
20,Female,1,3.54,4.2,98,5.5,7.9,3.9,2.7,1.4,Yes,Single,6.7,0.4,14,1,6.5,100,100
25,Female,1,3.32,3.4,86,5.7,6.8,4,0.8,3.1,No,In a Relationship,6.1,1,9,0,2.3,100,88
23,Female,4,3.34,2.2,96,7.3,2.7,1.5,1.3,4,No,Single,4.8,0.8,14,1,5.8,99,83
18,Female,3,3.35,1.2,82,9.5,5.2,1.2,1,3.7,No,Single,1,0.1,10,5,5,92,91
18,Male,3,3.52,2.8,100,6,5.4,2.2,3.4,3.4,Yes,In a Relationship,4.3,1,15,2,4.5,95,93
18,Male,2,4,4.8,100,6.7,5.8,2.8,2.2,4.2,No,Single,4,0.6,14,4,5.5,100,97
19,Male,3,3.9,3.8,100,8.3,4.8,2.4,2.8,7.8,Yes,In a Relationship,1.9,1.8,12,1,2.7,88,100
21,Female,2,3.53,1.6,80,7,3.9,0,2.5,3.3,No,Single,3.2,0.8,12,0,2.5,100,95
18,Male,2,3.08,3.8,91,6.6,8.8,5.4,0.9,5,Yes,In a Relationship,4.5,2,11,2,0,90,97
21,Female,2,3.81,4.1,95,7.7,5.1,2.4,0.3,4.9,No,In a Relationship,3.4,1.4,17,2,5.9,100,100
21,Female,4,3.19,2.2,71,7.3,4.6,3.1,2.1,6.6,No,Single,6.8,0.7,11,1,7,91,91
18,Male,3,4,3.7,91,8.2,9,4.7,3.4,4.1,Yes,Single,4.5,1,22,6,5.5,100,96
27,Female,4,4,3.6,100,8.5,3.7,0,1.9,1.3,No,Single,3.1,1.1,23,1,3.4,100,93
26,Female,1,3.18,1.8,83,7.4,5.3,2,0,3.6,No,In a Relationship,4.3,1.4,10,1,6.5,98,84
21,Female,2,4,4,96,7.4,2,2.2,2.2,3.5,No,In a Relationship,3.8,1.6,10,1,6.8,100,90
21,Male,1,4,4.3,98,7.3,5.3,2.3,0.8,4.6,Yes,Single,2.3,0.7,12,2,1.3,100,99
23,Male,1,4,5.1,100,7.6,5.2,2.5,0,1.3,No,In a Relationship,2.4,1,9,0,3.3,100,88
24,Female,2,3.95,5.1,100,7.1,7.3,5,3.6,5.5,No,Single,4.4,1.3,16,4,0.6,100,100
19,Female,3,2.96,1.4,63,7,7.7,3.8,0.4,3,No,In a Relationship,4.2,0,18,0,1.4,89,85
23,Female,2,3.55,2.1,79,8.4,8.1,4.2,3.2,4.7,Yes,In a Relationship,1.8,1.8,18,2,6.4,99,95
21,Female,2,3.72,4.3,99,8.8,6.4,2.9,3.3,3.6,Yes,In a Relationship,5,0.2,11,2,5.1,99,100
18,Female,4,3.79,4.3,93,5.2,4.9,0.7,2,3.2,Yes,Single,3.9,0.9,11,1,3.5,100,94
23,Male,2,4,4.3,100,7,1.8,0,0.4,3.5,No,Single,4.3,0.5,2,4,2.8,100,91
27,Female,4,4,9.3,100,6.2,3,0.5,3,4.3,No,Single,1,1.9,9,1,1.8,100,100
23,Female,1,4,4.4,93,6.6,6.4,3.3,0.5,6.9,No,In a Relationship,5.1,2.2,7,4,5.1,100,97
20,Female,3,4,5.2,100,7.5,5.1,2.8,1.4,0,No,In a Relationship,4,1.1,6,0,4.6,99,91
27,Male,4,3.81,4.9,93,7.8,6.4,2.5,1.2,4.1,Yes,In a Relationship,4.7,1.1,10,4,6.2,100,100
19,Female,4,4,4.5,84,6.9,4.6,2.2,1,3.1,Yes,In a Relationship,4.1,1.2,10,2,5,100,100
20,Female,1,3.27,3,89,4.7,10.4,5.8,1.8,2.6,Yes,Single,6.6,1.2,12,1,5.2,89,100
27,Male,4,3.8,4.6,100,5.8,3.5,1.6,0,0,No,Single,5.1,2.2,19,2,3.3,100,95
21,Female,1,3.28,2.3,87,8.1,9.8,4.2,0.6,4.2,No,Single,3.6,4.2,18,0,3,87,87
28,Male,1,3.22,3.1,86,3.7,8.2,2.8,0.3,2.8,Yes,Single,4.6,1,6,1,3.8,100,97
28,Female,1,3.33,2.8,89,8.4,5.6,2.7,2.2,1.3,No,In a Relationship,3.5,1.8,14,0,1.7,100,87
19,Female,3,4,3.6,100,7.6,9,4.6,2.4,3.1,No,In a Relationship,3.1,0.4,8,0,3.1,97,98
26,Male,2,4,7,100,8.6,7.5,5,1.2,2.4,Yes,In a Relationship,4,0.4,13,4,4.4,100,100
27,Male,3,3.28,0.7,95,6.8,6.6,2.4,2.3,0,No,In a Relationship,3.9,0.2,19,2,4.2,80,100
